citation_key,year,first_author,title,study_type,doi,local_filename
2020_Doyle,2020,Doyle,"Gambusia holbrooki Survive Shear Stress, Pressurization and Avoid Blade Strike in a Simulated Pumped Hydroelectric Scheme",Lab,10.3389/fenvs.2020.563654,"2020_Doyle_Lab_Gambusia holbrooki Survive Shear Stress, Pressurization and Avoid Blade Strike in a Simulated Pumped Hydroelectric Scheme.pdf"
2020_Pflugrath,2020,Pflugrath,The Susceptibility of Juvenile American Shad to rapid decompression and fluid shear exposure,Lab,10.3390/w12020586,2020_Pflugrath_Lab_The Susceptibility of Juvenile American Shad to rapid decompression and fluid shear exposure.pdf
2020_Pflugrathb,2020,Pflugrath,Using transparent fish to observe barotrauma associated with downstream passage through hydropower turbines,Lab,10.1002/rra.3676,2020_Pflugrath_Lab_Using transparent fish to observe barotrauma associated with downstream passage through hydropower turbines.pdf
2020_Saylor,2020,Saylor,Within and Among Fish Species Differences in Simulated Turbine Blade Strike Mortality Limits on the Use of Surrogacy,Lab,10.3390/w12030701,2020_Saylor_Lab_Within and Among Fish Species Differences in Simulated Turbine Blade Strike Mortality Limits on the Use of Surrogacy.pdf
2021_Castro-Santos,2021,Castro-Santos,Effects of plunge pool configuration on downstream passage survival of juvenile blueback herring,Lab,10.1016/j.aaf.2020.05.006,2021_Castro-Santos_Lab_Effects of plunge pool configuration on downstream passage survival of juvenile blueback herring.pdf
2021_Egger,2021,Egger,Comparative swimming performance and behaviour of three benthic fish species The invasive round goby (Neogobius,Lab,10.1111/eff.12592,2021_Egger_Lab_Comparative swimming performance and behaviour of three benthic fish species The invasive round goby (Neogobius.pdf
2021_Pflugrath,2021,Pflugrath,American eel resilience to simulated fluid shear associated with passage through hydroelectric turbines,Lab,10.1051/kmae/2021017,2021_Pflugrath_Lab_American eel resilience to simulated fluid shear associated with passage through hydroelectric turbines.pdf
2021_Saylor,2021,Saylor,Creation of a prototype biomimetic fish to better understand impact trauma caused by hydropower turbine blade strikes,Lab,10.7717/peerj-matsci.16,2021_Saylor_Lab_Creation of a prototype biomimetic fish to better understand impact trauma caused by hydropower turbine blade strikes.pdf
2021_Saylorb,2021,Saylor,Susceptibility of Riverine Fishes to Anthropogenically-linked Trauma Strikes from Hydropower Turbine Blades,Lab,,2021_Saylor_Lab_Susceptibility of Riverine Fishes to Anthropogenically-linked Trauma Strikes from Hydropower Turbine Blades.pdf
2021_Wiegleb,2021,Wiegleb,"Flow, force, behaviour assessment of a prototype hydraulic barrier for invasive fish",Lab,10.1007/s10750-021-04762-z,"2021_Wiegleb_Lab_Flow, force, behaviour assessment of a prototype hydraulic barrier for invasive fish.pdf"
2022_ALPHEUS,2022,ALPHEUS,Fish mortality from prototype turbine,Lab,,2022_ALPHEUS_Lab_Fish mortality from prototype turbine.pdf
2022_Doyle,2022,Doyle,Survival estimates across five life stages of redfin (Perca fluviatilis) exposed to simulated pumped-storage hydropower,Lab,10.1093/conphys/coac017,2022_Doyle_Lab_Survival estimates across five life stages of redfin (Perca fluviatilis) exposed to simulated pumped-storage hydropower.pdf
2022_Meng,2022,Meng,Turbine blade strike tests for evaluation,Lab,10.1088/1755-1315/1037/1/012058,2022_Meng_Lab_Turbine blade strike tests for evaluation.pdf
2022_Nakae,2022,Nakae,Domestication of captive-bred masu salmon leads to decrease in lateral line organs,Lab,10.1038/s41598-022-21195-3,2022_Nakae_Lab_Domestication of captive-bred masu salmon leads to decrease in lateral line organs.pdf
2023_Brinsholm,2023,Brinsholm,Anatomical and pathological characteristics of ribs in the Atlantic salmon (Salmo salar L.) and its relevance to,Lab,,2023_Brinsholm_Lab_Anatomical and pathological characteristics of ribs in the Atlantic salmon (Salmo salar L.) and its relevance to.pdf
2023_Kerr,2023,Kerr,Boyle’s Law ignores dynamic processes in governing barotrauma in fish,Lab,10.1038/s41598-023-46125-9,2023_Kerr_Lab_Boyle’s Law ignores dynamic processes in governing barotrauma in fish.pdf
2023_Kerrb,2023,Kerr,The effects of simulated hydropower turbine rapid decompression on two Neotropical fish species,Lab,10.1016/j.scitotenv.2023.166770,2023_Kerr_Lab_The effects of simulated hydropower turbine rapid decompression on two Neotropical fish species.pdf
2023_Miccoli,2023,Miccoli,"Stress Response to Entrainment Flow Speed near Pump Inlet Fish Screens in Two Model Teleost Species, Anguilla anguilla",Lab,10.3390/fishes8030139,"2023_Miccoli_Lab_Stress Response to Entrainment Flow Speed near Pump Inlet Fish Screens in Two Model Teleost Species, Anguilla anguilla.pdf"
2025_Schneider,2025,Schneider,A barotrauma chamber for the systematic assessment of barotrauma-related injuries in potamodromous European fish,Lab,10.1080/24705357.2025.2541435,2025_Schneider_Lab_A barotrauma chamber for the systematic assessment of barotrauma-related injuries in potamodromous European fish.pdf
2025_Zitek,2025,Zitek,Untersuchung von druckänderungsbedingten,Lab,10.1007/s00506-025-01155-7,2025_Zitek_Lab_Untersuchung von druckänderungsbedingten.pdf
2026_Zitek,2026,Zitek,Sensitivity of larval and juvenile fish with different swim bladder morphology to barotrauma with a special focus on,Lab,10.1038/s41598-025-32670-y,2026_Zitek_Lab_Sensitivity of larval and juvenile fish with different swim bladder morphology to barotrauma with a special focus on.pdf
1990_Saettem,1990,Saettem,NO Waterfall,Field,10.13140/RG.2.1.2521.2564,1990_Saettem_Field_NO Waterfall.pdf
2006_Baumgartner,2006,Baumgartner,Mortality of larval Murray cod (Maccullochella peelii peelii) and golden perch (Macquaria ambigua) associated,Field,10.1071/MF05098,2006_Baumgartner_Field_Mortality of larval Murray cod (Maccullochella peelii peelii) and golden perch (Macquaria ambigua) associated.pdf
2006_Boubee,2006,Boubee,Downstream passage of silver eels at a small hydroelectric facility,Field,,2006_Boubee_Field_Downstream passage of silver eels at a small hydroelectric facility.pdf
2007_Dauble,2007,Dauble,"Biological assessment of the advanced turbine design at Wanapum Dam, 2005",Field,,"2007_Dauble_Field_Biological assessment of the advanced turbine design at Wanapum Dam, 2005.pdf"
2009_Normandeau,2009,Normandeau,Shad movement and mortality,Field,,2009_Normandeau_Field_Shad movement and mortality.pdf
2010_Dengb,2010,Deng,Use of an autonomous sensor to evaluate the biological performance of the advanced turbine at Wanapum Dam,Field,10.1063/1.3501336,2010_Deng_Field_Use of an autonomous sensor to evaluate the biological performance of the advanced turbine at Wanapum Dam.pdf
2011_Duncan,2011,Duncan,Characterization of Fish Passage conditions through a francis turbine cougar dam oregon,Field,,2011_Duncan_Field_Characterization of Fish Passage conditions through a francis turbine cougar dam oregon.pdf
